asteroid_id,name,absolute_magnitude,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km,date
54576455,(2026 AM4),25.18,24.4655496172,54.706632051,3.108182538,6676212.632865324,2026-02-22
54602796,(2026 CN3),25.07,25.7368254194,57.5492911629,20.539889812,3293446.939100497,2026-02-22
54602810,(2026 CY3),24.09,40.4161533403,90.3732662579,9.2658044008,7874245.094114712,2026-02-22
54602851,(2026 DH),27.12,10.012786977,22.3892723248,11.3596927927,3642864.224917558,2026-02-22
54602853,(2026 DJ),26.9,11.0803882126,24.7765012606,12.6295881903,2840418.557475898,2026-02-22
54602975,(2026 CQ4),27.6,8.0270316728,17.948988478,6.3135893341,3358837.768774706,2026-02-22
54602855,(2026 DK),26.2,15.2951935344,34.201092472,14.373132479,1039571.126888906,2026-02-22
54603072,(2026 DT),27.85,7.1540995088,15.9970528196,4.1792473037,3218312.485997661,2026-02-22
54603177,(2026 DX),26.82,11.4962176289,25.7063241024,6.3566298,4795069.143947312,2026-02-22
54603880,(2026 DN5),30.91,1.7480545317,3.9087687612,8.6029360659,43043.34634149,2026-02-22
54603971,(2026 DB7),26.24,15.0160247905,33.5768521834,19.8376803326,1381466.871158959,2026-02-22
54603973,(2026 DD7),27.78,7.3884778657,16.521138758,12.3379357335,155009.348550445,2026-02-22
54604121,(2026 DP7),26.98,10.6795997524,23.8803110188,14.0199153359,2037874.768791305,2026-02-22
54604123,(2026 DW7),25.44,21.7047594307,48.5333175224,15.1892879514,3825429.934955826,2026-02-22
54604137,(2026 DV8),27.24,9.4744711265,21.1855614896,13.2380908365,1432556.294059038,2026-02-22
54604367,(2026 DP11),25.08,25.6185754479,57.2848761883,14.0062793107,3973882.708059911,2026-02-22
54604374,(2026 DS12),25.1,25.3837029364,56.7596852866,17.4813549354,12367235.956544142,2026-02-22
54604519,(2026 DO14),24.24,37.7185489265,84.3412394123,11.8243217572,25732301.838375542,2026-02-22
